Name,Suit,Upright,Reversed,Image
Fool,Major Arcana,"Beginnings, innocence, spontaneity, a free spirit","Holding back, recklessness, risk-taking",ET-MA-00-the-Fool.jpg
The Magician,Major Arcana,"Manifestation, resourcefulness, power, inspired action","Manipulation, poor planning, untapped talents",ET-MA-01-Magician.jpg
High Priestess,Major Arcana,"Intuition, sacred knowledge, divine feminine, the subconscious mind","Secrets, disconnected from intuition, withdrawal and silence",ET-MA-02-High-Priestess.jpg
The Empress,Major Arcana,"Femininity, beauty, nature, nurturing, abundance","Creative block, dependence on others",ET-MA-03-The-Empress.jpg
The Emperor,Major Arcana,"Authority, establishment, structure, a father figure","Domination, excessive control, lack of discipline, inflexibility",ET-MA-04-Emperor.jpg
Hierophant,Major Arcana,"Spiritual wisdom, religious beliefs, conformity, tradition, institutions","Personal beliefs, freedom, challenging the status quo",MA-05-the-hierophant.png
Lovers,Major Arcana,"Love, harmony, relationships, values alignment, choices","Self-love, disharmony, imbalance, misalignment of values",ET-MA-06-the-lovers.jpg
Chariot,Major Arcana,"Control, willpower, success, action, determination","Self-discipline, opposition, lack of direction",ET-MA-07-the-chariot.jpg
Strength,Major Arcana,"Strength, courage, persuasion, influence, compassion","Inner strength, self-doubt, low energy, raw emotion",ET-MA-08-strength.jpg
Hermit,Major Arcana,"Soul-searching, introspection, being alone, inner guidance","Isolation, loneliness, withdrawal",ET-MA-09-the-hermit.jpg
Wheel of Fortune,Major Arcana,"Good luck, karma, life cycles, destiny, a turning point","Bad luck, resistance to change, breaking cycles",ET-MA-10-wheel-of-fortune.jpg
Justice,Major Arcana,"Justice, fairness, truth, cause and effect, law","Unfairness, lack of accountability, dishonesty",MA-11-justice.png
Hanged Man,Major Arcana,"Pause, surrender, letting go, new perspectives","Delays, resistance, stalling, indecision",MA-12-the-hanged-man.png
Death,Major Arcana,"Endings, change, transformation, transition","Resistance to change, personal transformation, inner purging",ET-MA-13-Death.jpg
Temperance,Major Arcana,"Balance, moderation, patience, purpose","Imbalance, excess, self-healing, re-alignment",ET-MA-14-Temperance.jpg
Devil,Major Arcana,"Shadow self, attachment, addiction, restriction, sexuality","Releasing limiting beliefs, exploring dark thoughts, detachment",ET-MA-15-The-Devil.jpg
Tower,Major Arcana,"Sudden change, upheaval, chaos, revelation, awakening","Personal transformation, fear of change, averting disaster",ET-MA-16-The-Tower.jpg
Star,Major Arcana,"Hope, faith, purpose, renewal, spirituality","Lack of faith, despair, self-trust, disconnection",ET-MA-17-The-Star.jpg
Moon,Major Arcana,"Illusion, fear, anxiety, subconscious, intuition","Release of fear, repressed emotion, inner confusion",ET-MA-18-The-Moon.jpg
Sun,Major Arcana,"Positivity, fun, warmth, success, vitality","Inner child, feeling down, overly optimistic",ET-MA-19-The-Sun.jpg
Judgement,Major Arcana,"Judgement, rebirth, inner calling, absolution","Self-doubt, inner critic, ignoring the call",ET-MA-20-Judgement.jpg
World,Major Arcana,"Completion, integration, accomplishment, travel","Seeking personal closure, short-cuts, delays",ET-MA-21-The-World.jpg
Ace of Cups,Cups,"Love, new relationships, compassion, creativity.","Self-love, intuition, repressed emotions.",ET-CUPS-ace.jpg
Two of Cups,Cups,"Unified love, partnership, mutual attraction","Self-love, break-ups, disharmony, distrust.",ET-CUPS-02.jpg
